time,x,y,z
70.0,-2587206.0904017873,6319170.965382189,-764675.7850688613
72.0,-2587864.8402313013,6320713.464272212,-749534.736339387
74.0,-2588510.8532701223,6322224.855147034,-734389.9884171799
76.0,-2589144.1262876545,6323705.130443423,-719241.6160274799
78.0,-2589764.6561165634,6325154.282752639,-704089.6939141834
80.0,-2590372.43965279,6326572.304820468,-688934.2968394661
82.0,-2590967.4738555714,6327959.189547266,-673775.499583405
84.0,-2591549.755747456,6329314.929988,-658613.3769436006
86.0,-2592119.282414322,6330639.5193522815,-643448.0037347989
88.0,-2592676.051005389,6331932.95100441,-628279.4547885131
90.0,-2593220.0587332402,6333195.218463409,-613107.8049526458
92.0,-2593751.302873834,6334426.315403058,-597933.1290911101
94.0,-2594269.78076652,6335626.2356519345,-582755.5020834516
96.0,-2594775.4898140547,6336794.973193444,-567574.9988244697
98.0,-2595268.427482615,6337932.522165858,-552391.6942238389
100.0,-2595748.5913018147,6339038.876862344,-537205.6632057296
101.99999999999999,-2596215.9788647145,6340114.031730998,-522016.98070843
103.99999999999999,-2596670.587827841,6341157.981374878,-506825.7216839665
106.00000000000001,-2597112.4159111944,6342170.720552036,-491631.9610977249
108.00000000000001,-2597541.4608982657,6343152.244175541,-476435.7739280709
110.0,-2597957.720636047,6344102.547313518,-461237.235165971
112.0,-2598361.1930350447,6345021.625189167,-446036.4198146131
114.0,-2598751.876069292,6345909.473180799,-430833.40288902714
116.00000000000001,-2599129.767776359,6346766.086821856,-415628.259415705
118.00000000000001,-2599494.8662573644,6347591.461800939,-400421.06443222135
120.00000000000001,-2599847.1696769884,6348385.593961835,-385211.89298685367
122.00000000000001,-2600186.67626348,6349148.47930354,-370000.82013820234
124.00000000000001,-2600513.38430867,6349880.11398028,-354787.9209548108
126.00000000000001,-2600827.2921679807,6350580.494301539,-339573.2705147856
127.99999999999999,-2601128.3982604328,6351249.616732075,-324356.94390541594
130.0,-2601416.701068658,6351887.477891945,-309139.0162227938
132.0,-2601692.199138907,6352494.074556526,-293919.5625714336
134.0,-2601954.8910810566,6353069.403656527,-278698.6580638918
136.0,-2602204.77556862,6353613.462278019,-263476.3778203865
138.0,-2602441.851338753,6354126.247662441,-248252.796968417
140.0,-2602666.1171922623,6354607.757206626,-233027.99064238317
142.0,-2602877.5719936136,6355057.988462812,-217802.03398320483
144.0,-2603076.214670937,6355476.93913866,-202575.00213794105
146.0,-2603262.0442160354,6355864.607097266,-187346.9702594094
148.0,-2603435.0596843883,6356220.990357178,-172118.01350580514
150.0,-2603595.26019516,6356546.087092405,-156888.20704032027
152.0,-2603742.6449312028,6356839.895632431,-141657.62603076268
154.0,-2603877.213139065,6357102.4144622255,-126426.34564917508
156.0,-2603998.964128994,6357333.6422222555,-111194.44107145394
158.0,-2604107.8972749407,6357533.577708492,-95961.98747696844
160.0,-2604204.012014565,6357702.2198724225,-80729.06004817926
162.0,-2604287.3078492377,6357839.567821056,-65495.73397025741
164.0,-2604357.7843440464,6357945.620816929,-50262.084430702926
166.0,-2604415.4411277967,6358020.378278118,-35028.186618963635
168.0,-2604460.2778930156,6358063.839778235,-19794.115726053773
170.0,-2604492.2943959543,6358076.005046441,-4559.9469441726305
172.0,-2604511.4904565904,6358056.873967445,10674.244533676867
174.0,-2604517.865958629,6358006.44658151,25908.38351406961
176.0,-2604511.4208495053,6357924.723084449,41142.3948035398
178.0,-2604492.1551403846,6357811.703827634,56376.20320896244
180.0,-2604460.0689061633,6357667.389317993,71609.73353793491
182.0,-2604415.1622854704,6357491.780218005,86842.91059915851
184.0,-2604357.435480666,6357284.877345709,102075.65920282004
186.0,-2604286.8887578417,6357046.681674692,117307.90416097348
188.0,-2604203.5224468205,6356777.194334092,132539.57028792155
190.0,-2604107.3369411556,6356476.41660859,147770.58240059743
192.0,-2603998.332698128,6356144.34993841,163000.86531894637
194.0,-2603876.5102387476,6355780.995919312,178230.34386630743
196.0,-2603741.870147748,6355386.356302583,193458.9428697951
198.0,-2603594.4130735854,6354960.432995032,208686.5871606811
200.0,-2603434.139728437,6354503.228058983,223913.20157477603
202.0,-2603261.0508881975,6354014.743712265,239138.710952811
203.99999999999997,-2603075.1473924746,6353494.982328203,254363.04014081953
205.99999999999997,-2602876.4301445857,6352943.946435606,269586.1139905191
207.99999999999997,-2602664.900111555,6352361.638718759,284807.8573596929
209.99999999999997,-2602440.5583241084,6351748.062017406,300028.1951125716
212.00000000000003,-2602203.4058766686,6351103.219326742,315247.0521202149
214.00000000000003,-2601953.44392735,6350427.1137973955,330464.35326089343
216.00000000000003,-2601690.6736979526,6349719.748735416,345680.02342047024
218.0,-2601415.0964739583,6348981.127602258,360893.9874927824
220.0,-2601126.713604523,6348211.254014765,376106.17038002296
222.0,-2600825.52650247,6347410.13174515,391316.4969931222
224.0,-2600511.5366442846,6346577.764720982,406524.8922521294
226.0,-2600184.745570106,6345714.157025162,421731.2810865944
228.0,-2599845.1548837186,6344819.312895907,436935.58843594906
230.00000000000003,-2599492.766252547,6343893.236726729,452137.7392498889
232.00000000000003,-2599127.5814076457,6342935.933066411,467337.65848875453
234.00000000000003,-2598749.602143691,6341947.406618988,482535.271123913
236.00000000000003,-2598358.830318971,6340927.662243723,497730.50213813933
238.00000000000003,-2597955.2678553793,6339876.7049550805,512923.2765259978
240.00000000000003,-2597538.916738402,6338794.539922705,528113.5192942232
242.00000000000003,-2597109.7790171104,6337681.172471396,543301.1554621021
244.00000000000003,-2596667.8568041488,6336536.608081076,558486.1100618546
246.00000000000003,-2596213.1522757253,6335360.852386771,573668.3081390145
248.00000000000003,-2595745.6676715994,6334153.911178575,588847.6747528112
250.00000000000003,-2595265.4052950717,6332915.790401626,604024.1349765507
252.00000000000003,-2594772.367512971,6331646.496156076,619197.6138979963
254.00000000000003,-2594266.556755645,6330346.034697056,634368.0366197495
255.99999999999997,-2593747.9755169447,6329014.412434648,649535.3282596313
258.0,-2593216.626354212,6327651.635933852,664699.4139510627
260.0,-2592672.51188827,6326257.711914554,679860.2188434454
262.0,-2592115.634803404,6324832.647251489,695017.6681025426
264.0,-2591545.997847354,6323376.448974207,710171.6869108598
266.0,-2590963.6038312954,6321889.12426704,725322.2004680247
268.0,-2590368.455629826,6320370.68046906,740469.1339911682
270.0,-2589760.556180953,6318821.1250740485,755612.4127153046
272.0,-2589139.908486076,6317240.465730451,770751.9618937116
274.0,-2588506.5156099712,6315628.710241344,785887.7067983107
276.0,-2587860.380680776,6313985.866564389,801019.5727200476
278.0,-2587201.5068899747,6312311.942811797,816147.4849692715
280.0,-2586529.897492377,6310606.947250284,831271.3688761153
282.0,-2585845.555806107,6308870.888301029,846391.1497908757
284.0,-2585148.485212581,6307103.77453963,861506.7530843924
286.0,-2584438.6891564936,6305305.61469606,876618.1041484278
288.0,-2583716.1711457972,6303476.417654623,891725.1283960468
